title,company_name,location,contract_type,remote,salary,experience_min,management,competences,published_date
Chargé(e) d'études naturalistes (entomologie - herpétologie),SYNDICAT MIXTE DU PARC RÉGIONAL DE CHARTREUSE,"112 Rue Léon Auscher, Saint-Pierre-de-Chartreuse (Isère (38))",Emploi temporaire (CDD 6 mois),partiel,Rémunération statutaire + régime indemnitaire de la fonction publique territoriale suivant expérience et ancienneté,1.0,False,"['Formation supérieure en environnement, sciences de la vie, écologie', 'Connaissances naturalistes en entomologie (Odonates, Rhopalocères, Orthoptères) et herpétologie (Amphibiens, Reptiles)', 'Méthodes d’inventaire, capture et identification des taxons', 'Maîtrise de QGIS et logiciels de cartographie numérique', 'Pédagogie pour publics variés (grand-public, enfants, élus)', 'Utilisation des logiciels bureautiques courants', 'Gestion d’espaces naturels et préconisations de gestion', 'Permis B et véhicule personnel indispensable']",2025-12-01
Chargé(e) d'études Eau et Assainissement,Communauté de communes Riom Limagne et Volcans,"Riom (Puy-de-Dôme, 63)",Emploi permanent - vacance d'emploi (ouvert aux contractuels),partiel,Rémunération statutaire + régime indemnitaire + chèques-déjeuner,,False,"['Connaissance du fonctionnement des collectivités et des services d’eau et d’assainissement', 'Maîtrise des procédures SAGE, SDAGE, PGRE, enquêtes publiques', 'Connaissance juridique et réglementaire dans le domaine des eaux', 'Maîtrise des outils informatiques (tableur, traitement de texte, SIG, diaporama)', 'Capacité à organiser et suivre des études', 'Autonomie, rigueur et esprit de synthèse', 'Travail en équipe et en transversalité']",2025-12-22
COORDINATEUR DU CONTRAT LOCAL DE SANTE INTERCOMMUNAL H/F,MAIRIE DE VILLENEUVE-D'ASCQ,"2 rue Pasteur Mairie d'Annappes, Villeneuve-d'Ascq (Nord (59))",Emploi permanent - création d'emploi,non,,,True,"['Pilotage de projets', 'Gestion de projet', 'Animation de réunions', ""Coordination de réseaux d'acteurs"", 'Analyse et synthèse', 'Rédactionnelle', 'Connaissances juridiques et financières', 'Maîtrise des outils informatiques (Word, Excel, PowerPoint, outils de traitement de données)', 'Connaissance des enjeux en santé publique et des politiques sociales']",2025-12-19
Chargé.e de mission éco-pastoralisme,PARC NATUREL REGIONAL DES CAUSSES DU QUERCY,"Les Canavals - BP 10, Cœur de Causse (Lot (46))",Emploi permanent - vacance d'emploi,partiel,,,False,"['Animation territoriale', 'Gestion de projets collectifs', 'Pastoralisme', 'Écologie des systèmes agro-pastoraux', 'Montage de dossiers de financement', 'Suivi technique et financier', 'Coordination de prestataires', 'Communication et sensibilisation']",2025-12-19
Chargé ou chargée d'études,Perpignan méditerranée métropole,"11 boulevard Saint-Assiscle - BP 20641, Perpignan (Pyrénées-Orientales (66))",Emploi permanent - création d'emploi,non,,,False,"['Réglementation liée aux parcs de stationnement au sol', 'Réglementation relative aux infrastructures réseaux de télécommunication', 'Règles budgétaires et comptables de la comptabilité publique', 'Code des Marchés Publics', 'Planification et coordination de projets', 'Gestion de bases de données et indicateurs', ""Maîtrise de l'outil informatique"", 'Communication et concertation publique']",2025-12-18
Chargé d'études en urbanisme (h/f),Métropole Nice Côte d'Azur,"455 Promenade des Anglais, Nice (Alpes-Maritimes (06))",Emploi permanent - vacance d'emploi (contractuel possible à titre dérogatoire),,,,False,"[""Maîtrise du cadre législatif et règlementaire de l'urbanisme"", 'Connaissance du fonctionnement des collectivités territoriales', 'Maîtrise des outils informatiques et logiciels métiers', ""Capacités rédactionnelles, d'analyse et de synthèse"", 'Travail en équipe', 'Rigueur et organisation']",2025-12-17
Gestionnaire du groupement d'achat d'énergies,Syndicat Départemental d'Énergies de l'Ardèche,"283 chemin d'Argevillières BP 616, 07000 Privas, Ardèche (07)",Emploi permanent - vacance d'emploi,partiel,Selon grille indiciaire,,False,"['Maîtrise des outils bureautiques (Excel, suite Office)', 'Connaissance du fonctionnement des collectivités territoriales', 'Connaissance du cadre administratif et technique des énergies', 'Gestion de bases de données', 'Analyse et synthèse', 'Rigueur et autonomie', 'Discrétion et confidentialité']",2025-11-20
Administrateur (trice) de Base de Données,AUTRES DE COLLECTIVITE TERRITORIALE DE GUYANE,Guyane,Emploi permanent - vacance d'emploi,,,,False,"['Gestion et maintenance des bases de données', 'Optimisation et performance', 'Soutien technique et formation des utilisateurs', 'Analyse et extraction de données', 'Veille technologique et mise en conformité', 'Collaboration avec les équipes']",2025-09-29
Ingénieur Hydraulicien et Conduite d’Opération EP/EU/AEP (H/F),CA CAP ATLANTIQUE,Guérande (Loire-Atlantique (44)),Emploi permanent - création d'emploi,partiel,"traitement indiciaire selon grilles de la fonction publique territoriale, IFSE 1060€, prime annuelle",,False,"['Modélisation hydraulique réseaux (Infoworks ICM, Mike Urban ou PCSWMM)', 'Connaissance de l’environnement juridique et réglementaire des collectivités territoriales', 'Maîtrise des marchés publics', 'Maîtrise des outils bureautiques et logiciels de DAO (AutoCAD, etc.)', ""Animation d'équipe et conduite de réunions"", 'Aptitudes rédactionnelles', 'Permis B']",2025-12-08
Chargé d'études : Data Analyst (h/f),Syndicat des eaux d'Ile-de-France (SEDIF),"79, boulevard Saint-Germain, Paris",CDD 3 ans (renouvelable),partiel,,,False,"['Power BI', 'QlikView', 'ArcGIS', 'QGIS', 'FME', 'SQL', 'Python', 'PostgreSQL']",2025-12-30
DATA ANALYSTE,COLLECTIVITE TERRITORIALE DE MARTINIQUE,"RUE GASTON DEFFERRE, Fort-de-France, Martinique (972)",Emploi permanent - vacance d'emploi,,,,False,"[""Maîtrise des techniques statistiques et méthodes d'analyse quantitative et qualitative"", ""Maîtrise des logiciels de traitement et d'analyse de données"", 'Maîtrise des outils bureautiques et collaboratifs', 'Connaissances du RGPD', 'Connaissances du fonctionnement des Collectivités territoriales', 'Travail en transversalité', 'Conception et organisation de bases de données', ""Rédaction d'avis et rapports d'aide à la décision"", ""Réalisation d'études techniques et économiques"", 'Rigueur', ""Sens de l'organisation et de l'initiative"", ""Sens d'analyse"", 'Esprit de synthèse']",2025-12-15
ANALYSTE DES DONNEES,Communauté d'Agglomération Melun Val de Seine,"297 rue Rousseau Vaudran, Dammarie-les-Lys (Seine-et-Marne (77))",Emploi permanent - création d'emploi,partiel,,,False,"['SQL', 'OpenData', 'SIG (Mapinfo, GEO, QGIS, pgAdmin)', 'Data visualisation (PowerBI, Opendatasoft)', 'Analyse statistique et spatiale', 'Bureautique (Excel, Access)', 'Cartographie', 'HTML/CSS/PHP (notions)', 'Gestion de bases de données (SGBD)', 'Interopérabilité']",2025-11-13
Analyste de données (H/F),Service Départemental d'Incendie et de Secours de Val-d'Oise (SDIS 95),"33 Rue des Moulines, Neuville-sur-Oise (Val-d'Oise (95))",CDD 36 mois renouvelable,partiel,Selon grilles indiciaires du grade et régime indemnitaire du poste,,False,"['Power BI', 'Business Objects (BO)', 'Excel avancé', 'SQL', 'Analyse et synthèse', 'Vulgarisation des résultats', 'Rigueur', 'Travail en équipe']",2025-12-17
Rédacteur ou technicien en charge du déploiement de l'intelligence artificielle,Communauté de communes de Montesquieu,"1 allée Jean Rostand, Martillac (Gironde (33))",Emploi permanent - création d'emploi,,rémunération statutaire et avantages sociaux,,False,"['Maîtrise du fonctionnement et de l’organisation des collectivités territoriales', 'Connaissance des enjeux de l’IA', 'Maîtrise du cadre juridique', 'Conduite de projets', 'Travail en transversalité et en mode projet', 'Vulgarisation des concepts techniques', 'Accompagnement au changement']",2025-12-26
CONTRÔLEUR DE GESTION - ANALYSTE DE DONNÉES (F/H),Communauté Urbaine Caen La Mer,"16 rue Rosa Parks - CS 52700, Caen (Calvados (14))",Emploi permanent - vacance d'emploi,partiel,,,False,"['Contrôle de gestion', 'Analyse financière', 'Data visualisation (Power BI)', 'Comptabilité publique et privée', 'Comptabilité analytique', 'Gestion des bases de données', 'Pilotage de la performance', 'Rédaction de rapports et préconisations']",2025-12-22
Chargé de mission data et administrateur applicatif,MONTPELLIER MEDITERRANEE METROPOLE,"50 place Zeus, Montpellier (Hérault (34))",Emploi permanent - vacance d'emploi,,,,False,"['Big Data', 'Outils d’analyse (Excel, BI, SAS, Python, Tableau/PowerBI, DigDash)', 'Gestion de projets', 'Méthodologie Agile', 'RGPD', 'Conduite du changement', 'Veille technologique', 'Analyse de données', 'ERP (GIR/ATAL)']",2026-01-06
"Référente en charge de la Gouvernance des Données, de la Mutualisation et du Développement Coopératif",COMMUNAUTE DE COMMUNES DU CANTON D'ERSTEIN,"1 rue des 11 communes - BP 50057, Benfeld (Bas-Rhin (67))",Emploi permanent - création d'emploi,,,,True,"['Gouvernance des données', 'RGPD/DPO', 'Mutualisation de services', 'Veille réglementaire', 'Coordination de projets', 'Rédaction de rapports', 'Gestion administrative']",2025-12-31
Administrateur de bases de données et système décisionnel,CONSEIL DEPARTEMENTAL DE LA VIENNE,Poitiers (Vienne),CDD (remplacement),partiel,,2.0,False,"['Maîtrise des SGBD (Oracle, SQL Server, PostgreSQL, etc.)', 'Langage SQL', 'Environnement Linux', 'Langages de script (Python)', 'Outils ETL/BI (Business Objects, BODS)', 'Gestion de projet (Agile, cycle en V)']",2025-12-19
Chef de projet IA et DATA (F/H),CONSEIL DEPARTEMENTAL DE LA SEINE MARITIME,"QUAI JEAN MOULIN, Rouen (Seine-Maritime (76))",Emploi permanent - vacance d'emploi,partiel,,,True,"['Pilotage de projets complexes', 'Maîtrise des fondamentaux de la data (modélisation, qualité, gouvernance, sécurité)', 'Maîtrise des architectures Data & Analytics', 'Maîtrise des concepts IA/ML (cas d’usage, modèles, Machine Learning)', 'Maîtrise des enjeux réglementaires (RGPD, HDS)', 'Maîtrise des outils DELIBIA, COPILOT, PRISME AI', 'Excellente communication et leadership transversal']",2025-12-19
Data Manager,SERVICE DEPARTEMENTAL D'INCENDIE ET DE SECOURS,"95 AV HENRI JAUBERT, Digne-les-Bains (Alpes-de-Hte-Provence (04))",Emploi permanent - vacance d'emploi (ouvert aux contractuels),non,,,False,"['Maîtrise des outils de gestion de bases de données (SQL, PostgreSQL, Oracle, etc.)', 'Connaissances des outils d’intégration (ETL, API, connecteurs, webservices)', 'Pratique des outils de datavisualisation (Power BI, Tableau, Data Studio ou équivalents)', 'Langages d’analyse (Python)', 'Cybersécurité et protection des données', 'Extraction et exploitation de données', 'Création de rapports']",2025-12-16
CHEF DE PROJET DONNÉES (F/H),SYTRAL MOBILITES,"21 boulevard Marius Vivier Merle, 69003 Lyon, Rhône (69)",Emploi permanent - création d'emploi,partiel,,5.0,True,"['Pilotage de projets SI', 'Gouvernance des données', 'Architecture de gestion de la donnée', 'Modélisation et analyse de données', 'Communication avec différents publics', 'Veille métiers et technologies', 'Gestion de plateforme data (Microsoft Fabric)']",2025-12-08
Administrateur Data et CRM,ETABLISSEMENT PUBLIC DU MUSEE DU LOUVRE,"34 Quai François MITTERRAND, Paris",Emploi permanent - vacance d'emploi,partiel,,,False,"['Gestion et gouvernance de base de données', 'Systèmes de gestion de bases de données clients', 'Outils de CRM', 'Plateformes marketing', 'Analyse d’audience et de navigation', 'Excel (fonctions expertes)', 'Sens de l’organisation et rigueur', 'Autonomie', 'Aisance rédactionnelle']",2025-12-15
Technicien du service DATA et SIG,COMMUNAUTE DE COMMUNES DE LA VALLÉE DORÉE,"1 RUE DE NOGENT, Laigneville (Oise (60))",Emploi permanent - vacance d'emploi,,,,False,"['Analyse', ""Connaissance approfondie des Systèmes d'Information Géographique (SIG)"", 'Gestion de bases de données géographiques', ""Maîtrise de l'outil informatique"", ""Utilisation d'appareils de mesure topographique"", ""Sensibilité aux questions de l'environnement"", 'Sens du relationnel', ""Rigueur et sens de l'organisation""]",2025-12-13
Chef(fe) du service valorisation de la donnée,SDIS des Yvelines,"56 avenue de Saint Cloud, Versailles (Yvelines (78))",Emploi permanent - vacance d'emploi,,Statutaire + régime indemnitaire (IFSE) + prime annuelle (CIA),5.0,True,"['Maîtrise des outils bureautiques (tableur, base de données)', 'Logiciels de data-visualisation et requêtes (Qlik View, Qlik Sense, Business Object)', 'Analyse, synthèse et restitution de l’information', 'Contrôle de gestion', ""Fonctionnement d'un SDIS"", ""Encadrement d'équipe"", 'Gestion de projets décisionnels']",2025-12-22
Gestionnaire de données et bilans (h/f),Syndicat interdépartemental pour l'assainissement de l'agglomération parisienne (SIAAP),Maisons-Laffitte (Yvelines (78)),Emploi permanent - vacance d'emploi (ouvert aux contractuels),partiel,,,False,"[""Connaissances des procédés de traitement de l'eau"", 'Sens de la rigueur', 'Sens du contact', ""Esprit d'initiative et d'analyse"", ""Maîtrise de l'outil informatique (bureautique et système de supervision)""]",2025-11-07
Chargé d’analyse de données et de reporting,SYTRAL MOBILITES,"21 BOULEVARD VIVIER MERLE, Lyon (Rhône (69))",Emploi permanent - création d'emploi,,,5.0,False,"['Analyse de données', 'Reporting', 'Gestion de projets complexes', ""Connaissance des systèmes d'information (billettique, comptage, SAE)"", 'Maîtrise des outils informatiques (Excel, PowerPoint, etc.)', 'Négociation', 'Rédaction de procédures et documents', 'Veille technologique']",2025-12-29
Chargé(e) du contrôle et de la gestion des données,Syndicat mixte collecte déchets (Syndicat du Bois de l'Aumône),Riom (Puy-de-Dôme (63)),Emploi permanent - vacance d'emploi (ouvert aux contractuels),partiel,Barème des traitements des fonctionnaires (RIFSEEP),,False,"['Maîtrise des outils bureautiques (Pack Office, Internet)', 'Gestion de bases de données (Oracle, Access)', 'Outils de reporting (Business Objects, Crystal Report)', 'Outils de traitement géographique (ArcGIS, QGIS)', ""Administration de systèmes d'information"", 'Méthodes et normes ITIL', 'Connaissance des réglementations informatiques et CNIL', 'Capacité à former des utilisateurs', 'Esprit de synthèse et rédactionnel', 'Permis VL']",2025-12-24
UN ANALYSTE D’EXPLOITATION INFORMATIQUE (H/F),Conseil départemental du Vaucluse,"13 Route de Lyon, Avignon (Vaucluse (84))",Emploi permanent - vacance d'emploi (contractuel possible à titre dérogatoire),partiel,,,False,"['Exploitation avancée des environnements serveurs Windows et Linux', 'Bonnes pratiques d’exploitation de serveurs virtualisés (VMware)', 'Maîtrise d’Active Directory', 'Ordonnanceur (ex. Visual TOM)', 'Sauvegarde (ex. Commvault)', 'Supervision (ex. EV Observe)', 'Langages de scripting (Shell, PowerShell)', 'Serveurs d’applications, web et conteneurisation (Apache/Tomcat, NGINX, Docker, IIS)', 'Bases de données (Oracle, MySQL, MariaDB, PostgreSQL, SQL Server)', 'Méthodologies ITIL et normes de sécurité', 'Résolution d’incidents techniques complexes']",2025-12-22
"Chargé de la mission Data, simplification, innovation, qualité de vie au travail (h/f)",Département des Hauts-de-Seine,"14 Rue Hoche, Puteaux (Hauts-de-Seine (92))",Emploi permanent - création d'emploi,,,,True,"['SQL', 'Python', 'Power BI', 'Big Data', 'Gestion de projet (Agile, Scrum)', 'Architectures data (bases de données, ETL, cloud)', 'Développement applicatif', 'Innovation publique', 'Transformation numérique']",2025-12-05
Analyste développeur (h/f),Conseil départemental de la marne,"2 bis rue de jessaint - CS 30454, Châlons-en-Champagne (Marne (51))",Emploi permanent - vacance d'emploi,partiel,,,False,"['PHP/Symfony', 'API', 'Bases de données', 'Outils web', 'Documentation et qualité logicielle', 'Méthodologie et rigueur', 'Travail en équipe']",2026-01-05
JURISTE PROTECTION DES DONNÉES / TECHNOLOGIE DE L'INFORMATION / PROPRIÉTÉ INTELLECTUELLE (F/H),SYTRAL MOBILITES,"21 boulevard Marius Vivier Merle, 69003 Lyon, Rhône (69)",Emploi permanent - création d'emploi,partiel,,2.0,False,"['Droit du numérique', 'RGPD et protection des données', ""Droit des technologies de l'information"", 'Propriété intellectuelle', 'Cybersécurité', 'Gestion des risques', 'Rédaction de contrats IT', 'Veille réglementaire']",2025-12-09
"CHEF DU SERVICE CONTRATS, PROCESS & DATA (F/H)",SYTRAL MOBILITES,"21 boulevard Marius Vivier Merle, 69003 Lyon, Rhône (69)",Emploi permanent - création d'emploi,partiel,"Rémunération statutaire, RIFSEEP (IFSE et CIA), prime de fin d'année",10.0,True,"['Pilotage des contrats de transport', ""Gestion d'équipe"", 'Connaissance des DSP/PPP', 'Transports publics multi-opérateurs', 'Contrôle de gestion', 'Analyse et reporting de données', 'Travail en transversalité et mode projet']",2025-12-08
"Chargé de la mission Data, simplification, innovation, qualité de vie au travail (h/f)",Département des Hauts-de-Seine,"14 Rue Hoche, Puteaux (Hauts-de-Seine (92))",Emploi permanent - création d'emploi (contractuel possible à titre dérogatoire),,,,False,"['SQL', 'Python', 'Power BI', 'Big Data', 'Gestion de projet (Agile, Scrum)', 'Architectures data (bases de données, ETL, cloud)', 'Développement applicatif', 'Innovation publique', 'Transformation numérique']",2025-12-01
Responsable de l’ingénierie fonctionnelle de la donnée,Valence Romans Agglo,"Espace Jacques Brel, 1, Place Jacques Brel, Valence (Drôme (26))",Emploi permanent - création d'emploi,,,,True,"['Gestion et structuration de données', 'Gouvernance des données', 'Analyse de données', 'Outils OpenSource (Kestra, Ducklake, OpenMetaData, Superset, Qlik Sense)', 'ETL/ELT', 'Datavisualisation', 'Formation et sensibilisation des utilisateurs', 'Culture de la donnée']",2025-12-12
Délégué à la Protection des Données (H/F),LE DEPARTEMENT DU TARN,"35 Lices Georges Pompidou, Albi (Tarn (81))",Emploi permanent - vacance d'emploi,non,,,True,"['Pilotage de projets stratégiques', 'Expertise juridique (RGPD, veille réglementaire)', ""Culture et maîtrise des systèmes d'information"", 'Qualités rédactionnelles', 'Organisation et procédures', 'Animation de réunions collaboratives', 'Développement de réseaux partenariaux', 'Rigueur, autonomie et réactivité', 'Coopération interservices et transversalité', 'Aisance relationnelle']",2025-12-04
Chef de Projet Système d'Information Décisionnel (h/f),CONSEIL DEPARTEMENTAL DE L'ARDECHE,"La Chaumette BP 737, Privas (Ardèche (07))",Emploi permanent - vacance d'emploi,,,,True,"[""Expertise des techniques, normes, référentiels et outils liés à un système d'information décisionnel"", ""Maîtrise des outils de stockage (Data Warehouse), d'extraction (ETL) et de datavisualisation (DigDash, Power BI, BO, ...)"", ""Langage SQL, formats XML, JSON et interrogations d'API Rest"", 'Bases de données (PostgreSQL, Oracle, SQL Server)', 'Langage de programmation (Python)', 'Pilotage de projets stratégiques', 'Analyse des besoins métiers et fonctionnels', 'Accompagnement du changement']",2025-12-11
Ingénieur Bases de données,Service Départemental d'Incendie et de Secours de l'Hérault (SDIS 34),Vailhauquès (Hérault (34)),Emploi permanent - vacance d'emploi (ouvert aux contractuels),,Traitement de base + astreintes + primes + avantages sociaux,,False,"['Diplôme niveau ingénieur informatique ou équivalent', 'Expérience en gestion des bases de données', 'Connaissance et maîtrise des ETL', 'Connaissances des environnements O365 (PowerApps), Oracle, MySQL', 'Autonomie et grande disponibilité', 'Qualités relationnelles', 'Connaissance du milieu sapeur-pompier (appréciée)']",2026-01-05
Chargé ou chargée de projets systèmes d'information solidarités,CONSEIL DEPARTEMENTAL DE LOIRE-ATLANTIQUE,"8 rue Sully NANTES, Loire-Atlantique (44)",CDD,partiel,,,False,"['Culture informatique', 'Outils bureautiques', 'Business Objects', 'Conduite de projets', 'Autonomie', 'Pédagogie', 'Travail en équipe', 'Animation de groupes de travail']",2026-01-05
Chef de projet pilotage et valorisation des données (F/H),Métropole du Grand Nancy,"22/24 Viaduc Kennedy, Nancy (Meurthe-et-Moselle (54))",Emploi permanent - vacance d'emploi,partiel,,,True,"['Pilotage de projets transverses', 'Valorisation et exploitation des données financières', 'Contrôle de gestion et évaluation des politiques publiques', 'Automatisation et industrialisation des processus', 'Analyse des risques et recommandations', ""Gestion des systèmes d'information"", ""Coordination d'interlocuteurs multiples""]",2025-12-08
Chargé de projet outils et données d'exploitation,Île-de-France Mobilités,"39 bis-41 rue de Châteaudun, Paris",Emploi permanent - création d'emploi,partiel,,1.0,False,"['Connaissance des outils bureautiques et reporting/BI', 'Conception d’une offre de transport (dont graphicage)', 'Procédure de marchés publics', 'Connaissance des workflows, droits d’accès, référentiels', 'Connaissance technique systèmes d’information (architecture, interfaces, script)', 'Connaissance des bases de données, SIG', 'Analyser des données multiples', 'Capacités rédactionnelles et de synthèse', 'Comprendre les besoins des utilisateurs et les traduire en paramétrage d’outils', 'Capacité à travailler en mode projet', 'Savoir faire des tests fonctionnels', 'Communication, pédagogie', 'Argumenter et structurer son propos', 'Curiosité, rigueur et organisation', 'Travail en transversalité avec d’autres équipes']",2025-12-17
Chargé de projet outils et données d'exploitation,Île-de-France Mobilités,"39 bis-41 rue de Châteaudun, Paris",Emploi permanent - création d'emploi,partiel,,1.0,False,"['Connaissance des outils bureautiques et reporting/BI', 'Conception d’une offre de transport (dont graphicage)', 'Procédure de marchés publics', 'Connaissance des workflows, droits d’accès, référentiels', 'Connaissance technique systèmes d’information (architecture, interfaces, script)', 'Connaissance des bases de données, SIG', 'Analyser des données multiples', 'Capacités rédactionnelles et de synthèse', 'Comprendre les besoins des utilisateurs et les traduire en paramétrage d’outils', 'Capacité à travailler en mode projet', 'Savoir faire des tests fonctionnels', 'Communication, pédagogie', 'Argumenter et structurer son propos', 'Curiosité, rigueur et organisation', 'Travail en transversalité avec d’autres équipes']",2025-12-17
Chargé de mission gouvernance et analyse des données (h/f),AGENCE NATIONALE DE L'HABITAT,"8 Avenue de l'Opéra, Paris",Emploi permanent - vacance d'emploi,,,,False,"['manipulation/traitement de données', ""maîtrise des principaux outils d'analyse"", 'connaissance du secteur du logement', ""capacité d'adaptation"", 'autonomie']",2025-12-15
Gestionnaire bases de données et documentation patrimoniale H/F,Conseil départemental des Yvelines,"2 Avenue de Lunca, Montigny-le-Bretonneux (Yvelines (78))",Emploi permanent - vacance d'emploi,,,2.0,False,"[""Gestion informatisée et manuelle d'un fonds et d'une base documentaire"", 'Administration des bases de données (Filemaker/Arkothèque, Syrtis)', 'Catalogage et classement (bibliothéconomie)', 'Recherche documentaire et veille thématique', 'Connaissance du droit de la propriété intellectuelle et du patrimoine', 'Maîtrise des outils bureautiques et PAO', 'Techniques de conservation des documents']",2025-12-09
Administrateur de bases de données (h/f),Mairie de Boulogne-Billancourt,"Boulogne-Billancourt (Hauts-de-Seine, 92)",Emploi permanent - création d'emploi,,,2.0,False,"['Administration SGBD (Oracle, SQL Server, MySQL, PostgreSQL)', 'Administration systèmes Windows et Linux', 'Tomcat et PHP', 'Sauvegarde et restauration de bases de données', 'Haute disponibilité, réplication, clustering', ""Résolution d'incidents"", 'Travail en équipe et communication technique']",2025-12-03
Administrateur ou Administratrice systèmes et bases de données,MONTPELLIER MEDITERRANEE METROPOLE,"50 place Zeus, Montpellier (Hérault (34))",Emploi permanent - vacance d'emploi,,,,False,"['Administration systèmes et bases de données', 'Gestion des bases de données Oracle et PostgreSQL', ""Sécurité des systèmes d'information"", 'Sauvegarde (Veeam)', 'Documentation CMDB (ITOP)', 'Travail en équipe', 'Proactivité']",2025-11-25
Directeur.trice adjoint.e des Systèmes d'Information,Conseil départemental de Meurthe et Moselle,"48 esplanade Jacques Baudot, Nancy (Meurthe-et-Moselle (54))",Emploi permanent - vacance d'emploi,partiel,,,True,"[""Management d'équipes opérationnelles"", 'Gouvernance IT', 'Pilotage de projets SI', 'Conduite du changement', ""Urbanisation des systèmes d'information"", 'Normes et réglementations IT (RGPD, sécurité)', 'Méthodologies ITIL et Agile', 'Gestion de la DATA et Business Intelligence', ""Développement d'applications spécifiques""]",2025-12-09
Chargé de mission statistiques et suivi des projets SI (h/f),Conseil départemental de la manche,"Maison du Département, Saint-Lô (Manche (50))",Emploi permanent - vacance d'emploi,,,,False,"['Gestion de projet', 'Analyse de données', 'Maîtrise des outils statistiques (BusinessObject, Qliksense)', ""Maîtrise avancée d'Excel et de la suite Microsoft"", ""Connaissance des métiers de l'autonomie (MDPH, APA)"", 'Méthodologie de projet', 'Animation de groupes de travail', 'Accompagnement au changement']",2025-12-15
Technicien études méthodes de production (h/f),Syndicat interdépartemental pour l'assainissement de l'agglomération parisienne (SIAAP),"Noisy-le-Grand, Seine-Saint-Denis (93)",CDD,partiel,,,False,"[""Connaissances techniques du domaine de l'assainissement et de la valorisation des boues"", 'Génie des procédés', 'Gestion de projet', 'Informatique bureautique', 'Management QSE', 'Utilisation de la GMAO', ""Expérience terrain dans le traitement de l'eau""]",2026-01-02
Chargé(e) de mission du service public départemental de l’autonomie,Conseil départemental de Guadeloupe,"Basse-Terre, Jarry, Baie-Mahault (Guadeloupe)",Emploi permanent - création d'emploi (ouvert aux contractuels),,,,False,"['Environnement territorial et réseaux stratégiques', ""Méthodes d'ingénierie de projets et planification"", ""Techniques d'évaluation et d'analyse de données"", ""Animation de réunions et pilotage d'équipe"", 'Communication écrite et orale', 'Gestion administrative et budgétaire', ""Conception d'indicateurs et bases de données"", 'Rédaction de cahiers des charges', 'Prospective et scénarii stratégiques']",2025-12-23
Chargé d'études (h/f),Ville de Fontenay-sous-Bois,"Fontenay-sous-Bois (Val-de-Marne, 94)",Emploi permanent - vacance d'emploi (ouvert aux contractuels),partiel,,,False,"['Techniques budgétaires et comptables publiques', 'Recueil et traitement de données', 'Calcul des coûts et comptabilité analytique', 'Analyse et évaluation des politiques publiques', ""Maîtrise d'Excel et Word"", 'Logiciels métier (Ciril Finances)', 'Travail en équipe', 'Capacités rédactionnelles']",2025-12-12
Chargé du contrôle de gestion sociale et des audits organisationnels (H/F),Commune de Colmar,"1 place de la mairie - bp 50528, Colmar (Haut-Rhin (68))",Emploi permanent - vacance d'emploi (ou contractuel dérogatoire),non,Rémunération statutaire sur la grille indiciaire des attachés territoriaux + régime indemnitaire,,False,"[""Maîtrise des outils de contrôle de gestion et d'analyse des données RH"", 'Connaissances approfondies du statut de la fonction publique territoriale et des règles des finances locales', ""Maîtrise des méthodes d'audit et des techniques statistiques"", 'Capacité à concevoir des tableaux de bord et à produire des analyses stratégiques', ""Maîtrise avancée d'Excel et des logiciels SIRH""]",2025-12-24
Chargé d'études en urbanisme prévisionnel et opérationnel (h/f),Commune de Cannes,"Hôtel de Ville - Mairie de Cannes, Alpes-Maritimes (06)",Emploi permanent - vacance d'emploi (ouvert aux contractuels pour une durée maximale de 2 ans),non,,,False,"['Urbanisme', 'Aménagement du territoire', 'Géographie', 'Connaissance des documents de planification (PLU, SCOT, SRADDET)', 'Maîtrise des logiciels SIG (ArcGIS)', 'Outils bureautiques (Suite Office)', 'Analyse de données complexes', 'Rédaction de notes de synthèse et rapports', 'Conduite de projets urbains']",2025-12-15
"Chargé de mission auprès de la DGA ressources financières, juridiques, numérique et commandes publiques (h/f)",Ville de Créteil,"Créteil (Val-de-Marne, 94)",Emploi permanent - vacance d'emploi (ouvert aux contractuels),partiel,,,False,"['Pilotage de projets', 'Gestion des risques', 'Contrôle interne', 'Analyse et évaluation', ""Gestion de systèmes d'information (SI)"", ""Coordination d'équipes"", 'Rédaction de cahiers des charges', 'Tableaux de bord et indicateurs']",2025-12-19
CHEF DE PROJET TRANSFORMATION ET INNOVATION H/F,CONSEIL DEPARTEMENTAL DE HAUTE-SAVOIE,Annecy (Haute-Savoie (74)),Emploi permanent - vacance d'emploi,partiel,,5.0,True,"['Gestion de projet complexe', 'Transformation numérique', 'Méthodologies cycle en V et Agiles', 'IA générative et RPA', 'Automatisation low-code/no-code', 'Travail en transversalité', 'Accompagnement au changement', 'Innovation et veille technologique']",2025-12-29
Chargé d'études programmiste (H/F),Conseil départemental des Yvelines,"Hôtel du Département, Guyancourt (Yvelines (78))",Emploi permanent - vacance d'emploi,,,2.0,False,"[""Conception et pilotage d'études de programmation"", 'Connaissances des marchés publics', 'Diagnostics techniques préalables (géomètre, topographe, sol, structure)', 'Traduction des besoins métiers en programmes technico-fonctionnels', 'Mise à jour des référentiels fonctionnels et environnementaux', 'Travail en équipe pluridisciplinaire', 'Éco-construction et matériaux biosourcés', ""Rigueur et sens de l'organisation"", ""Esprit d'analyse et de synthèse""]",2025-12-30
